utr,amount_gross,commission,gst,settled_amount,settled_dt,txn_dt,payment_mode,issuing_bank,unit,raw_path,utr_txn_count,confidence
YESAP51883005249,26736.0,112.08,20.18,26603.74,2025-07-07 10:43:41,2025-07-06 08:33:59,UPI (CREDIT CARD),,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,29,high
YESAP51893100216,26241.07,196.59,35.39,26009.09,2025-07-08 10:41:14,2025-07-07 09:29:15,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,14,high
YESAP51903207243,63174.7,522.8299999999999,94.1,62557.770000000004,2025-07-09 10:35:25,2025-07-08 09:24:22,DEBIT_CARD,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,25,high
YESAP51913133667,18524.0,0.0,0.0,18524.0,2025-07-10 10:44:41,2025-07-09 09:38:05,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,11,high
YESAP51923091119,12019.0,54.49999999999999,9.81,11954.69,2025-07-11 10:38:52,2025-07-10 09:36:16,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,9,high
YESAP51933166109,12698.0,45.0,8.1,12644.9,2025-07-12 10:36:31,2025-07-11 09:01:33,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,13,high
YESAP51943145592,64493.95,533.87,96.1,63863.979999999996,2025-07-13 10:42:34,2025-07-12 09:41:33,CREDIT_CARD,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,31,high
YESAP51953105806,48595.14,236.04000000000002,42.49,48316.61,2025-07-14 10:50:24,2025-07-13 09:31:08,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,28,high
YESAP51963052873,20464.0,129.56,23.32,20311.12,2025-07-15 10:36:40,2025-07-14 07:09:04,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,14,high
YESAP51973330061,40848.08,213.51,38.43,40596.14,2025-07-16 10:38:07,2025-07-15 09:38:55,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,25,high
YESAP51983199517,30657.0,200.3,36.05,30420.65,2025-07-17 10:34:09,2025-07-16 09:26:06,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,20,high
YESAP51993140374,13665.0,153.26,27.58,13484.16,2025-07-18 10:45:01,2025-07-17 08:46:02,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,18,high
YESAP52003190021,13293.0,65.69,11.830000000000002,13215.48,2025-07-19 10:41:08,2025-07-18 09:24:41,DEBIT_CARD,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,21,high
YESAP52011059213,53073.83,116.16999999999999,20.91,52936.75,2025-07-20 10:43:45,2025-07-19 09:03:12,UPI (CREDIT CARD),,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,19,high
YESAP52023149626,38261.0,210.54,37.91,38012.55,2025-07-21 10:37:47,2025-07-20 09:10:21,CREDIT_CARD,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,34,high
YESAP52033146355,12449.0,8.53,1.54,12438.93,2025-07-22 10:38:35,2025-07-21 09:29:24,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,16,high
YESAP52043236473,6194.0,0.0,0.0,6194.0,2025-07-23 10:38:18,2025-07-22 09:39:20,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,8,high
YESAP52053320831,36219.0,216.49,38.97,35963.54,2025-07-24 10:40:30,2025-07-23 08:17:44,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,19,high
YESAP52063335438,6110.0,50.4,9.07,6050.530000000001,2025-07-25 10:40:48,2025-07-24 11:10:56,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,7,high
YESAP52073298889,19705.0,85.5,15.39,19604.11,2025-07-26 10:40:29,2025-07-25 08:37:15,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,8,high
YESAP52083231467,32062.0,9.33,1.68,32050.989999999998,2025-07-27 10:41:06,2025-07-26 08:56:06,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,7,high
YESAP52093161474,19494.68,513.92,92.50999999999999,18888.25,2025-07-28 11:12:44,2025-07-27 07:24:17,CREDIT_CARD,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,7,high
YESAP52103428873,20859.0,67.5,12.15,20779.35,2025-07-29 10:38:11,2025-07-28 09:01:02,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,8,high
YESAP52113539294,26660.85,383.16,68.97,26208.719999999998,2025-07-30 10:47:51,2025-07-29 08:59:26,CREDIT_CARD,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,10,high
YESAP52123428861,9831.0,0.0,0.0,9831.0,2025-07-31 11:29:38,2025-07-30 09:27:55,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,7,high
YESAP52133413728,7400.0,172.8,31.1,7196.1,2025-08-01 12:42:01,2025-07-31 10:47:28,CREDIT_CARD,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,2,high
YESAP52452132924,3651.0,0.0,0.0,3651.0,2025-09-02 07:07:38,2025-09-01 08:27:37,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,9,high
YESAP52453235855,469.0,0.0,0.0,469.0,2025-09-02 10:39:47,2025-09-01 10:14:14,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,2,high
YESAP52462587295,3374.0,9.91,1.78,3362.31,2025-09-03 07:50:46,2025-09-02 09:47:03,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,7,high
YESAP52463513165,11178.44,246.96,44.45,10887.03,2025-09-03 10:48:19,2025-09-02 09:14:34,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,3,high
YESAP52472428956,5924.0,0.0,0.0,5924.0,2025-09-04 06:38:28,2025-09-03 10:50:32,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,8,high
YESAP52473450822,12480.0,191.8,34.52,12253.68,2025-09-04 10:38:28,2025-09-03 07:20:11,DEBIT_CARD,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,4,high
YESAP52482272358,5329.0,0.0,0.0,5329.0,2025-09-05 06:44:00,2025-09-04 12:56:20,UPI_LITE,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,7,high
YESAP52483461761,5227.0,21.95,3.95,5201.1,2025-09-05 11:12:14,2025-09-04 05:37:22,DEBIT_CARD,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,5,high
YESAP52492439044,7006.0,8.14,1.46,6996.4,2025-09-06 07:42:26,2025-09-05 08:49:08,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,13,high
YESAP52493528621,7233.0,68.74,12.37,7151.89,2025-09-06 11:30:10,2025-09-05 06:59:36,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,5,high
YESAP52501799987,15011.0,0.0,0.0,15011.0,2025-09-07 07:18:11,2025-09-06 08:36:53,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,18,high
YESAP52503651846,31418.0,0.0,0.0,31418.0,2025-09-07 10:57:31,2025-09-06 05:59:23,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,6,high
YESAP52511666982,17223.0,65.15,11.73,17146.12,2025-09-08 05:01:29,2025-09-07 07:52:46,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,19,high
YESAP52513534837,16200.0,0.0,0.0,16200.0,2025-09-08 10:35:48,2025-09-07 10:10:23,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,5,high
YESAP52523035182,9485.0,0.0,0.0,9485.0,2025-09-09 05:22:28,2025-09-08 08:59:29,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,11,high
YESAP52525703201,24138.0,0.0,0.0,24138.0,2025-09-09 10:35:38,2025-09-08 09:26:44,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,7,high
YESAP52533305153,7479.0,0.0,0.0,7479.0,2025-09-10 05:52:24,2025-09-09 11:55:13,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,10,high
YESAP52535748030,6880.0,54.0,9.72,6816.280000000001,2025-09-10 10:39:38,2025-09-09 08:22:49,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,6,high
YESAP52543889638,2614.0,0.0,0.0,2614.0,2025-09-11 07:57:20,2025-09-10 08:32:24,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,9,high
YESAP52545727914,8099.0,0.0,0.0,8099.0,2025-09-11 10:39:08,2025-09-10 08:51:15,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,3,high
YESAP52554531245,15371.0,0.4,0.07,15370.529999999999,2025-09-12 07:29:50,2025-09-11 08:47:14,UPI_CREDIT_CARD,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,11,high
YESAP52555633236,24522.12,384.56,69.23,24068.33,2025-09-12 10:34:28,2025-09-11 09:53:46,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,9,high
YESAP52562056059,12717.0,38.31,6.9,12671.79,2025-09-13 09:16:39,2025-09-12 07:44:53,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,17,high
YESAP52572924883,19859.0,191.39,34.45,19633.16,2025-09-14 07:51:52,2025-09-13 12:44:58,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,19,high
YESAP52575601017,11797.0,152.55,27.46,11616.99,2025-09-14 12:24:01,2025-09-13 09:45:53,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,11,high
YESAP52582756752,11137.0,67.03,12.06,11057.91,2025-09-15 05:54:02,2025-09-14 10:30:35,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,17,high
YESAP52585451367,5450.0,9.0,1.62,5439.38,2025-09-15 10:44:56,2025-09-14 09:34:11,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,7,high
YESAP52591809044,7416.0,9.530000000000001,1.71,7404.76,2025-09-16 04:37:28,2025-09-15 08:32:04,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,13,high
YESAP52595424105,2791.0,0.0,0.0,2791.0,2025-09-16 11:39:25,2025-09-15 07:34:21,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,5,high
YESAP52602802294,9117.0,0.0,0.0,9117.0,2025-09-17 05:02:59,2025-09-16 14:47:26,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,14,high
YESAP52605707028,33599.64,0.0,0.0,33599.64,2025-09-17 11:26:49,2025-09-16 09:54:16,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,7,high
YESAP52613140340,3149.0,9.23,1.66,3138.11,2025-09-18 07:12:46,2025-09-17 08:33:21,UPI_LITE,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,6,high
YESAP52615650277,9684.16,0.0,0.0,9684.16,2025-09-18 10:52:19,2025-09-17 02:04:23,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,7,high
YESAP52622411741,6480.0,6.14,1.11,6472.75,2025-09-19 04:48:37,2025-09-18 09:27:00,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,10,high
YESAP52625678847,15417.0,56.260000000000005,10.13,15350.61,2025-09-19 11:04:42,2025-09-18 09:11:59,CREDIT_CARD,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,5,high
YESAP52632684907,11493.0,0.0,0.0,11493.0,2025-09-20 05:33:04,2025-09-19 08:36:02,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,17,high
YESAP52635667106,15416.0,17.67,3.18,15395.15,2025-09-20 10:34:18,2025-09-19 05:32:52,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,6,high
YESAP52644606728,16107.0,70.98,12.77,16023.25,2025-09-21 08:27:15,2025-09-20 08:30:40,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,20,high
YESAP52645722043,947.0,0.0,0.0,947.0,2025-09-21 13:24:11,2025-09-20 08:47:57,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,2,high
YESAP52652381192,14455.0,42.519999999999996,7.66,14404.82,2025-09-22 04:56:15,2025-09-21 09:20:21,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,20,high
YESAP52655652455,11032.0,34.89,6.28,10990.83,2025-09-22 10:36:12,2025-09-21 09:32:10,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,6,high
YESAP52664885430,12503.0,77.65,13.98,12411.369999999999,2025-09-23 06:32:37,2025-09-22 11:38:28,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,14,high
YESAP52665542634,20782.32,348.45,62.709999999999994,20371.16,2025-09-23 12:06:32,2025-09-22 07:53:57,DEBIT_CARD,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,7,high
YESAP52672854157,3037.0,0.0,0.0,3037.0,2025-09-24 05:31:34,2025-09-23 21:10:25,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,2,high
YESAP52675566978,1400.0,0.0,0.0,1400.0,2025-09-24 10:45:47,2025-09-23 13:03:57,DEBIT_CARD,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,2,high
YESAP52682603406,5642.0,14.09,2.54,5625.37,2025-09-25 05:36:34,2025-09-24 14:40:27,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,10,high
YESAP52685653103,19034.760000000002,115.05,20.71,18899.0,2025-09-25 10:35:06,2025-09-24 07:00:11,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,8,high
YESAP52693409547,5074.0,52.8,9.51,5011.6900000000005,2025-09-26 06:37:15,2025-09-25 14:56:24,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,6,high
YESAP52695577334,6188.0,20.99,3.78,6163.23,2025-09-26 10:39:33,2025-09-25 09:00:05,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,5,high
YESAP52703961559,4387.0,12.13,2.18,4372.6900000000005,2025-09-27 08:15:57,2025-09-26 11:58:24,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,8,high
YESAP52705581410,4237.0,22.26,4.01,4210.73,2025-09-27 11:02:21,2025-09-26 03:59:18,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,3,high
YESAP52714160734,6132.0,40.68,7.32,6084.0,2025-09-28 07:32:44,2025-09-27 18:46:49,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,7,high
YESAP52715521939,9591.880000000001,40.8,7.34,9543.74,2025-09-28 10:40:10,2025-09-27 06:06:48,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,8,high
YESAP52722115807,11599.0,60.45,10.879999999999999,11527.67,2025-09-29 05:28:44,2025-09-28 12:18:53,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,17,high
YESAP52725458828,20112.4,451.58,81.28,19579.54,2025-09-29 10:38:05,2025-09-28 06:54:48,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,7,high
YESAP52734016873,2604.0,29.15,5.24,2569.61,2025-09-30 07:09:51,2025-09-29 08:27:33,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,5,high
YESAP52735501389,2678.0,87.15,15.690000000000001,2575.16,2025-09-30 13:27:18,2025-09-29 09:28:19,UPI_CREDIT_CARD,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,2,high
YESAP52743476728,3502.0,40.91,7.369999999999999,3453.7200000000003,2025-10-01 07:02:28,2025-09-30 11:56:18,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,5,high
YESAP52745771051,19185.0,551.67,99.3,18534.03,2025-10-01 13:27:19,2025-09-30 09:20:59,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,9,high
YESAP52754435631,4760.0,24.66,4.4399999999999995,4730.9,2025-10-02 07:32:20,2025-10-01 11:55:46,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - OCTOBER 2025 (F&B SERVICE).xlsx,8,high
YESAP52762950127,6820.0,21.8,3.92,6794.28,2025-10-03 06:26:38,2025-10-02 20:41:28,CREDIT_CARD,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - OCTOBER 2025 (F&B SERVICE).xlsx,10,high
YESAP52772631307,13766.0,32.739999999999995,5.890000000000001,13727.37,2025-10-04 06:48:16,2025-10-03 12:49:30,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - OCTOBER 2025 (F&B SERVICE).xlsx,18,high
YESAP52784076080,22273.0,121.17,21.82,22130.01,2025-10-05 08:29:36,2025-10-04 08:49:17,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - OCTOBER 2025 (F&B SERVICE).xlsx,21,high
YESAP52793414912,6347.0,55.26,9.95,6281.79,2025-10-06 07:09:09,2025-10-05 13:37:36,UPI_CREDIT_CARD,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - OCTOBER 2025 (F&B SERVICE).xlsx,10,high
YESAP52802824500,4790.0,0.0,0.0,4790.0,2025-10-07 05:33:45,2025-10-06 08:52:21,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - OCTOBER 2025 (F&B SERVICE).xlsx,9,high
YESAP52812347041,11594.0,8.96,1.61,11583.43,2025-10-08 06:48:54,2025-10-07 19:12:37,UPI_CREDIT_CARD,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - OCTOBER 2025 (F&B SERVICE).xlsx,7,high
YESAP52822834544,3009.0,26.21,4.72,2978.0699999999997,2025-10-09 05:57:37,2025-10-08 15:43:00,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - OCTOBER 2025 (F&B SERVICE).xlsx,3,high
YESAP52832007425,4862.0,0.0,0.0,4862.0,2025-10-10 05:49:42,2025-10-09 19:25:43,UPI,,f&b,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - OCTOBER 2025 (F&B SERVICE).xlsx,5,high
YESAP52881123751,6986.0,45.0,8.1,6932.9,2025-10-15 04:01:57,2025-10-14 19:34:00,UPI,,rooftop,meet-recording/data_sheets_historical/mangal all data sheet/PTM ROOFTOP/TMV ROOFTOP- PTM - OCTOBER 2025.xlsx,11,high
YESAP52890029170,10631.0,0.0,0.0,10631.0,2025-10-16 02:49:47,2025-10-15 08:35:42,UPI,,rooftop,meet-recording/data_sheets_historical/mangal all data sheet/PTM ROOFTOP/TMV ROOFTOP- PTM - OCTOBER 2025.xlsx,19,high
YESAP52900106435,5213.0,0.0,0.0,5213.0,2025-10-17 02:07:17,2025-10-16 09:19:23,UPI,,rooftop,meet-recording/data_sheets_historical/mangal all data sheet/PTM ROOFTOP/TMV ROOFTOP- PTM - OCTOBER 2025.xlsx,12,high
